Picture	Category	GendDiff	AmusMean	AmusSD	AweMean	AweSD	ContMean	ContSD	ExciMean	ExciSD
8280	U		3.417	1.994	3.733	1.676	3.467	1.692	4.117	1.519
8300	U		4.75	1.901	3.517	1.818	3.183	1.672	4.2	1.92
8330	U		2.45	1.702	2.817	1.652	3.317	1.672	3.083	1.69
8340	U		3.467	2.021	4.117	1.698	3.25	1.525	4.067	1.676
8370	E		3.917	2.126	3.783	1.896	3.417	1.7	5.167	1.768
8380	U		3.483	1.9	3.317	1.873	3.95	1.731	4.45	1.808
8400	E		3.233	1.952	4.1	1.848	3.65	1.821	5.05	1.661
8420	AmCE		4.117	1.932	2.4	1.628	3.95	1.89	3.767	1.925
8460	U		3.717	2.051	2.6	1.699	3	1.677	3.017	1.652
8461	AmCE		4.1	1.654	2.267	1.625	3.367	1.717	3.85	1.436
8470	U		3.383	1.992	3.667	1.919	3.733	1.716	4.3	1.788
8490	AwE		4.85	1.867	3.283	1.992	3.65	2.032	5.333	1.674
8497	AmC		4.033	1.822	2.333	1.591	4.133	1.855	3.067	1.593
8500	AwCE		2.983	2.119	4.367	2.17	4.1	1.989	4.4	1.942
8501	AwCE		3.783	2.067	4.433	1.863	4.283	1.905	4.75	1.791
8502	AwCE		3.55	2.143	4.517	2.127	4.867	1.953	5.067	1.876
8503	U		3.2	1.929	3.483	2.079	3.85	2.114	3.917	2.036
8510	U		3.333	2.152	3.883	2.076	4.1	2.199	4.417	2.019
8531	U		3.25	1.928	3.95	1.89	4.067	1.84	4.317	1.722
8540	U		2.833	1.679	3.517	1.864	3.95	1.692	4.15	1.764
8600	Am		4.683	1.692	2.133	1.443	3.3	1.598	3.45	1.512
9156	AwE		3.217	2.018	4.317	1.891	3.317	1.78	4.583	1.797
60001	Aw		3.417	2.118	5.25	1.643	4.433	1.651	4.367	1.697
60014	AwCE		2.717	1.698	4.517	1.873	3.917	1.629	4.233	1.577
60018	AwCE		2.9	1.829	5.067	1.858	4.567	1.651	4.017	1.846
60019	Aw		2.617	1.767	4.267	1.706	3.367	1.562	3.267	1.706
60023	AwCE		2.533	1.631	4.467	1.641	3.8	1.725	3.617	1.708
60025	E		2.533	1.732	2.483	1.621	2.667	1.643	3.567	1.943
60027	AwCE		2.517	1.827	4.817	1.855	4.233	1.651	3.567	1.845
60043	AwCE		2.433	1.511	4.483	1.909	4	1.551	3.433	1.619
60047	AwC		2.867	1.995	5.167	1.806	5.067	1.686	3.483	1.761
60053	U	*	2.75	1.743	3.85	2.032	3.2	1.695	3.5	1.799
60058	U		3.15	2.073	4.683	1.846	3.517	1.827	4.217	1.688
60061	U		2.467	1.722	3.55	1.845	3.067	1.885	2.85	1.783
60069	AwC		2.333	1.469	4.233	1.845	3.817	1.751	2.917	1.66
60077	AwC		2.35	1.582	3.9	1.714	3.883	1.805	2.733	1.593
60084	Aw		2.817	1.891	4.917	1.816	4.15	1.725	3.4	1.796
60092	Aw		2.517	1.79	4.917	1.925	3.883	1.878	3.5	1.953
60094	Aw		2.417	1.844	4.367	1.939	3.35	1.735	3.083	1.807
60099	U		2.75	1.791	3.817	1.909	2.95	1.712	3.317	1.672
60112	AwC		2.5	1.79	4.25	1.883	4.233	1.75	3.033	1.677
60118	AwC		2.283	1.485	3.433	1.89	3.483	1.882	2.567	1.671
60119	Aw		2.633	1.615	4.683	1.909	3.8	1.811	3.5	1.864
60129	AwC		2.283	1.354	4.067	1.821	4.117	1.606	2.867	1.535
60133	Aw		2.85	1.84	5.067	1.84	3.667	1.704	3.967	1.707
60134	AwCE		2.333	1.674	4.233	1.835	3.867	1.712	3.267	1.885
60152	Aw		2.417	1.71	4.7	1.871	3.333	1.772	3.4	1.806
60154	Aw		2.35	1.516	4.75	1.945	3.3	1.629	3.317	1.79
60192	AwC		2.117	1.474	4.05	1.863	3.85	1.912	2.933	1.676
60194	U		3.217	1.975	3.35	2.098	2.65	1.624	2.533	1.662
60204	AwE		3.15	1.947	5.233	1.75	4.133	1.77	4.933	1.849
60220	U		3.35	2.024	2.85	1.876	3.233	1.807	2.217	1.451
60224	U	*	3.45	2.062	4.3	2.011	4.917	1.797	4.583	1.889
60233	AwCE		2.417	1.71	4.433	1.969	3.717	1.757	3.267	1.867
